increment,array,row,parameter,oti,fd,abs_diff,rel_diff
8,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,1,E,1.8173076923e-03,1.8173076924e-03,9.231e-14,9.231e-14
9,DSIGMA_DP,1,NU,1.0184911243e+03,1.0184911243e+03,3.964e-08,3.893e-11
9,DSIGMA_DP,1,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,1,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,2,E,7.7884615385e-04,7.7884615401e-04,1.638e-13,1.638e-13
9,DSIGMA_DP,2,NU,1.1782544379e+03,1.1782544379e+03,3.018e-08,2.561e-11
9,DSIGMA_DP,2,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,3,E,7.7884615385e-04,7.7884615401e-04,1.638e-13,1.638e-13
9,DSIGMA_DP,3,NU,1.1782544379e+03,1.1782544379e+03,3.018e-08,2.561e-11
9,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
